Option,Hazards,Assets,Action Type,Sub-Action Type,Source Plan,URL,Toolkit Case Study
Promote fire safe landscaping practices for residential and commercial development.,Wildfire,"Urban Landscape and Tree Canopy,Critical Facilities,Property",Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Promote green infrastructure (GI) for residential, commercial and golf course properties. Encourage GI installations such as wetlands, supply canals and lakes, green roofs, rain barrels and trees. GI helps manage stormwater on site, can improve water quality, can help protect coastal areas and offers cooling benefits when it is hot outside.",Water Quality,Property,Public Education & Outreach,Community Engagement,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
"Promote opportunities for controlled-environment agriculture (e.g., hydroponics, aquaculture) to increase local food production of food that is less energy and water intensive and protected from climate extremes.","Changing Seasons,Drought","Agriculture and Food Supply,Economy","""Health, Wellness, & Security""",Food Security,"City of San Antonio, TX: A Path for Climate Action & Adaptation",https://www.sanantonio.gov/Portals/0/Files/Sustainability/SAClimateReady/SACRReportOctober2019.pdf,https://toolkit.climate.gov/case-studies/city-san-antonio-tx-path-climate-action-adaptation-1
"Promote or require site and building design standards to minimize erosion risk. For example, encourage the construction of open foundation systems on buildings that allow water to pass beneath or through the foundation. This strategy minimizes scour and localized loss of soil. ",Erosion and Shoreline Recession,Property,Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Promote regenerative soil building to revitalize soil quality. ,Drought,Agriculture and Food Supply,Public Education & Outreach,Community Engagement,"Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
"Promote resilient land management practices, including range management practices that increase water retention. Increased water retention can enhance soil moisture, ground water and healthy ecosystems. One example is water-smart livestock grazing. ",Drought,"Agriculture and Food Supply,Aquatic and Marine Resources,Natural Areas and Wildlife","""Land Use, Land Conservation, & Zoning""",Land Use Practice,"County of Santa Clara, CA Climate Adaptation Guidebook",https://sustainability.sccgov.org/sites/g/files/exjcpb976/files/documents/1_150803_Final%20Guidebook_W_Appendices.pdf,https://toolkit.climate.gov/case-studies/county-santa-clara-ca-climate-adaptation-guidebook-1
Promote the city’s water service line insurance program. ,Drought,Water Infrastructure – Drinking Water,Public Education & Outreach,Education,"Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
Promote the development of flexible indoor recreation and tourism opportunities that work in different seasons or weather conditions.,Changing Seasons,Economy,Planning & Management,Design and alternative designs,"Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
"Promote the development of green infrastructure and alternative, net-zero greenhouse gas emission strategies for water supply, stormwater, and water infrastructure - Wastewater management focused on achieving a balance between water availability and consumption, limiting energy use to the amount produced on-site via renewable energy, and eliminating solid waste sent to landfills. Create comprehensive strategies to advance the multiple benefits and sustainability of services provided by net-zero practices.",Flooding – General,Water Infrastructure – General,Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""",Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
"Promote the increased agility of existing tourism and recreational businesses to adapt to changing seasons (i.e., flexible timing and location of activities).",Changing Seasons,Economy,Partnerships & Collaboration,Partnerships,"Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
Promote the proactive replacement of declining ash trees with a diverse mix of species to build urban forest resiliency and maintain canopy cover.,"""Shifting Species, Habitats, and Ecosystems""",Urban Landscape and Tree Canopy,Public Education & Outreach,Education,"St Paul, MN Climate Action & Resilience Plan",https://www.stpaul.gov/sites/default/files/Media%20Root/Mayor%27s%20Office/Saint%20Paul%20Climate%20Action%20%26%20Resilience%20Plan.pdf,https://toolkit.climate.gov/case-studies/st-paul-mn-climate-action-resilience-plan-1
Promote the protection and restoration of coastal natural systems and the creation of living shorelines at the regional scale. ,"Erosion and Shoreline Recession,Flooding – Coastal","Water Infrastructure – Wastewater,Natural Areas and Wildlife",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""",Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
"Promote the reuse of stormwater by implementing capture and reuse technologies in county and municipal operations, where feasible. ",Drought,Water Infrastructure – Stormwater,Capital Improvements - Green & Gray Infrastructure,Water Infrastructure,Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
"Promote the values of planting future climate adapted tree species and crops in an effortto expand tree planting efforts on private land. Thereby promoting restoration efforts toreforest riparian areas, wetland buffers, and unhealthy soil.","""Shifting Species, Habitats, and Ecosystems""",People,Public Education & Outreach,Community Engagement,Vermont Climate Action Plan,https://outside.vermont.gov/agency/anr/climatecouncil/Shared%20Documents/Initial%20Climate%20Action%20Plan%20-%20Final%20-%2012-1-21.pdf,https://toolkit.climate.gov/case-studies/vermont-climate-action-plan-1
Promote water conservation and water reuse in local businesses and industry. Increasing water use efficiency can prevent or alleviate drought impacts.,Drought,"Water Infrastructure – Drinking Water,Property",Public Education & Outreach,Community Engagement,Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
Promote water conservation through updates to municipal irrigation systems.  ,Drought,Water Infrastructure – Drinking Water,Capital Improvements - Green & Gray Infrastructure,Water Infrastructure,Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
Promote wider communication on Air Quality alerts.,Air Quality,Critical Facilities,"""Policy, Codes, & Standards""",Building Codes,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Promote wider communication on air quality alerts.,"Air Quality,Wildfire","People,Critical Facilities","Public Education & Outreach,""Policy, Codes, & Standards""","Communications,Building Codes","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan, Triangle Region, NC Regional Resilience Assessment",,
"Protect mechanical, electrical and other key operational equipment from flooding at critical facilities through facility improvements or adaptive action.  ","Flooding – Coastal,Flooding – General",Critical Facilities,Capital Improvements - Green & Gray Infrastructure,"""Armoring, harden, retrofits and revetments""",Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
"Protect parks and facilities from the increased risk of urban and rural fire through increased underbrush clearing, perimeter protection and adequate patrol and staffing. ",Wildfire,"Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Natural Areas and Wildlife,Property",Preparedness & Response,Prescribed Fire & Fuel Management,"City of Santa Cruz, CA Climate Action Plan",https://www.cityofsantacruz.com/home/showdocument?id=23644,https://toolkit.climate.gov/case-studies/city-santa-cruz-ca-climate-action-plan-1
Protect surface and groundwater from contamination.,Water Quality,Water Infrastructure – Stormwater,Capital Improvements - Green & Gray Infrastructure,Water Infrastructure,Climate Action Plan for the Chicago Region,https://mayorscaucus.org/wp-content/uploads/2021/06/RegionalCAP_primary_and_appendices_062321-02.pdf,https://toolkit.climate.gov/case-studies/climate-action-plan-chicago-region-1
"Protect, maintain and enhance connected habitat corridors. ","""Shifting Species, Habitats, and Ecosystems""","Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Natural Areas and Wildlife",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
"Protect, maintain and expand the urban tree canopy.","Air Quality,Extreme Heat,Flooding – General",Urban Landscape and Tree Canopy,Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""",Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Provide budget billing and deferred payment plans for families impacted by extreme events.,"High Winds,Landslides,Multiple or All Hazards,Severe Winter Weather,Wildfire,Erosion and Shoreline Recession,Extreme Heat,Flooding – Coastal,Flooding – General",People,Funding & Finance,Financing & Incentives,Tallahassee Community Resilience Plan,https://www.talgov.com/uploads/public/documents/publicsafety/resplansm.pdf,https://toolkit.climate.gov/case-studies/tallahassee-community-resilience-plan-1
Provide cooling systems for municipal and county assets and equipment sensitive to overheating. ,Extreme Heat,Critical Facilities,Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
Provide education and training for smaller health clinics on infectious diseases and the link of increased disease incidence to climate threats.,Vector-Borne Disease,"Critical Facilities,People",Public Education & Outreach,Education,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Provide emergency service staff information about where vulnerable populations are located.,"High Winds,Severe Winter Weather,Extreme Cold,Extreme Heat",People,Public Education & Outreach,Education,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Provide financial assistance for low-income residents to help with power bills, energy upgrades to homes and apartments and support services during extended periods of high temperature.",Extreme Heat,People,Funding & Finance,Financing & Incentives,"Cumberland County, NC: Climate Resiliency Plan",,
"Provide financial or process incentives for compact development near transit, especially those that prioritize affordable housing. ",Air Quality,Transportation and Mobility,Funding & Finance,Economic Development,Boise's Climate Action Roadmap,https://www.cityofboise.org/media/18146/boise-climate-roadmap.pdf,https://toolkit.climate.gov/case-studies/boises-climate-action-roadmap
"Provide incentives (density bonuses, permitting fees, faster review process, etc.) to developers to reduce impervious surfaces beyond riparian buffer rules and leave riparian areas in place.","Flooding – General,Flooding – Rainfall-induced","Property,Water Infrastructure – Stormwater",Funding & Finance,Financing & Incentives,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Provide incentives for projects that restore or create marine coastal habitat areas (e.g., beaches, dunes, wetlands) to minimize coastal erosion. ",Erosion and Shoreline Recession,"Water Infrastructure – Wastewater,Natural Areas and Wildlife",Funding & Finance,Financing & Incentives,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Provide incentives for proper shoreline stabilization and bank stabilization methods, including sloping or grading techniques, terracing hillsides or installing riprap boulders or geotextile fabric. ",Erosion and Shoreline Recession,"Aquatic and Marine Resources,Natural Areas and Wildlife",Funding & Finance,Financing & Incentives,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Provide information to homeowners about statutory vegetation management requirements and promote fuel breaks to slow fire spread in forested and WUI areas,Wildfire,Property,Public Education & Outreach,Education,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Provide information to homeowners about vegetation management requirements and promote fuel breaks to slow fire spread in forested and fire-prone areas.,Wildfire,Property,Public Education & Outreach,Education,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Provide outreach, education and technical assistance for best practices in stormwater management and green infrastructure. ","Flooding – Coastal,Flooding – General",Water Infrastructure – Stormwater,Public Education & Outreach,Community Engagement,State of Louisiana Regional Adaptation Strategy,https://s3.amazonaws.com/lasafe/Final+Adaptation+Strategies/Regional+Adaptation+Strategy.pdf,https://toolkit.climate.gov/case-studies/state-louisiana-regional-adaptation-strategy-0
"Provide private landowners with incentives for forest protection through easements and working forests that can return revenue from timber harvesting to cover taxes and other expenses of maintaining forest lands, thereby preventing land fragmentation and conversion to non-forest land uses.",Wildfire,Natural Areas and Wildlife,Funding & Finance,Economic Development,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Provide private landowners with incentives for forest protection through easements and working forests that can return revenue from timber harvesting to cover taxes and other expenses of maintaining forest lands. This effort can help prevent land fragmentation and conversion to non-forest land uses. ,"""Shifting Species, Habitats, and Ecosystems"",Wildfire","Agriculture and Food Supply,Water Infrastructure – Wastewater,Natural Areas and Wildlife,Property",Funding & Finance,"Financing & Incentives,Economic Development",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Provide private landowners with incentives for maintaining working forests that can return revenue from timber harvesting to cover taxes and other expenses of maintaining forest lands. This effort can help prevent land fragmentation and conversion to non-forest land uses.,"""Shifting Species, Habitats, and Ecosystems""",Agriculture and Food Supply,,,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Provide reduced cost or no-cost flood insurance in areas with low income. Funding could come from housing and community development funds.,"Flooding – General,Flooding – Rainfall-induced",People,Funding & Finance,Economic Development,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Provide resources for homeowners and businesses to plant trees on private property.,"Air Quality,Multiple or All Hazards,Extreme Heat,Flooding – General","Urban Landscape and Tree Canopy,Property",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Provide sufficient habitat for native pollinators and beneficial species in and adjacent to agricultural areas.,"Multiple or All Hazards,""Shifting Species, Habitats, and Ecosystems""",Agriculture and Food Supply,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Provide sufficient habitat for native pollinators and beneficial species in and adjacent to agricultural areas. ,"""Shifting Species, Habitats, and Ecosystems""","Agriculture and Food Supply,Aquatic and Marine Resources,Natural Areas and Wildlife",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Provide technical assistance to businesses in areas potentially impacted by flooding or sea level rise. Help them find ways to protect their jobs (e.g., strategic planning for possible relocation to other sites). This activity could be part of a larger economic development effort.","Flooding – Coastal,Flooding – General",Economy,Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""",HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Provide training for public safety staff in recognizing and responding to the physical and behavioral signs of heat-related illness.,Extreme Heat,People,"""Health, Wellness, & Security""",Public Health,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
Publicly report annually on progress in reducing pollution levels relative to targets and achieving the commitments in the Clean Air Cities Declaration. ,Air Quality,People,"""Health, Wellness, & Security""",Public Health,"Phoenix, AZ Climate Action Plan",https://www.phoenix.gov/oepsite/Documents/2021ClimateActionPlanEnglish.pdf,https://toolkit.climate.gov/case-studies/phoenix-az-climate-action-plan-1
Publish a guide on steps that property owners can take to make their existing buildings more resilient.,"High Winds,Multiple or All Hazards,Severe Winter Weather,Wildfire,Extreme Heat,Flooding – Coastal,Flooding – General","Multiple or All Assets,Property",Public Education & Outreach,Education,Climate Ready Boston - Resilience Initiatives,https://www.boston.gov/sites/default/files/imce-uploads/2017-01/crb_-_focus_area_ri.pdf,https://toolkit.climate.gov/case-studies/climate-ready-boston-resilience-initiatives-1
Purchase and implement an air quality measuring system.,Wildfire,People,Funding & Finance,Financing & Incentives,"Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
Purchase backup generators for the water infrastructure system to provide a sustained minimal level of water services in the event of a catastrophic power loss.,"High Winds,Landslides,Severe Winter Weather,Water Quality,Wildfire,Extreme Heat,Flooding – Coastal,Flooding – General","Water Infrastructure – Drinking Water,Water Infrastructure – General,Critical Facilities,Energy and Utilities",Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Flagstaff Climate Action and Adaptation Plan,https://www.flagstaff.az.gov/DocumentCenter/View/59411/Flagstaff-Climate-Action-and-Adaptation-Plan_Nov-2018,https://toolkit.climate.gov/case-studies/flagstaff-climate-action-and-adaptation-plan-0
Purchase other properties vulnerable to future flooding (not repetitive loss parcels) and prioritize which ones to repurpose.,"Flooding – General,Flooding – Rainfall-induced",Property,"""Managed Retreat, Relocation, & Buyout""",Relocation,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
"Pursue complementary efforts to increase the use of electrified transportation, improve the thermal efficiency of buildings, and replace electric resistance heat (such as electric baseboard heaters) with heat pumps.",Changing Seasons,Energy and Utilities,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Juneau's Changing Climate and Community Response,https://acrc.alaska.edu/docs/juneau-climate-report,https://toolkit.climate.gov/case-studies/juneaus-changing-climate-and-community-response-1
Reach out to your state representatives to seek support for priority projects in advance of the budget cycle.,Multiple or All Hazards,Multiple or All Assets,Funding & Finance,Financing & Incentives,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Recognize adaptable infrastructure,Drought,Water Infrastructure – General,Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Recommend tree planting and protection strategies for private development projects.,"Air Quality,Multiple or All Hazards,Extreme Heat,Flooding – General","Urban Landscape and Tree Canopy,Property",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Reduce carbon monoxide (CO) poisoning by creating or expanding education on the topic. Distribute CO detectors through education efforts.,"Severe Winter Weather,Extreme Cold",People,Public Education & Outreach,Education,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Reduce consumption of electricity and fuel and increase renewable energy capacity to increase regional resilience, reduce greenhouse gas emissions, and improve emergency management and disaster recovery.",Extreme Heat,Energy and Utilities,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Reduce flood insurance premiums by improving CRS rating.,Flooding – Rainfall-induced,Property,Funding & Finance,Economic Development,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Reduce flooding by targeting stream restoration in gullies that are most affected by fluctuations in water volume.,"Flooding – General,Flooding – Rainfall-induced","Aquatic and Marine Resources,Water Infrastructure – Stormwater",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Reduce local flooding through implementation of low impact development.,Flooding – General,Multiple or All Assets,"""Land Use, Land Conservation, & Zoning""",Low Impact Development (LID),Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Reduce non-point source pollution at local government facilities by ensuring the staff and operations are meeting National Pollutant Discharge Elimination System permit requirements.,Water Quality,"Water Infrastructure – Drinking Water,Aquatic and Marine Resources,Property","""Policy, Codes, & Standards""",Building Codes,"Clark County, Nevada, Community Sustainability & Climate Action Plan",https://kladashboard-clientsourcefiles.s3.amazonaws.com/ClarkCounty/April2023FinalPlan/CC_CAP_2023.pdf,https://toolkit.climate.gov/case-studies/clark-county-nevada-community-sustainability-climate-action-plan-1
Reduce response time and increase capacity (man power) to respond to areas where there is shared mutual aid agreements by increasing staffed hours required in fire stations in key areas,Wildfire,Critical Facilities,Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Reduce response time by speeding up reporting of wildfire ignition through community watch programs or through tools that use remote sensing technology.,Wildfire,"Multiple or All Assets,Property",Preparedness & Response,Early warning,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Reduce threshold for stormwater quantity control and consider improvements to streams: increase quality control, improve incentives for current roles to increase quantity and infiltration",Flooding – Rainfall-induced,Water Infrastructure – Stormwater,"""Policy, Codes, & Standards""",Building Codes,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Reduce wildfire response times by increasing staffed hours requirements in fire stations in key areas.,Wildfire,"Critical Facilities,Property",Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Reduce wildfire risk in natural landscapes by investigating opportunities available through zoning, home construction and fire safe building and landscape codes for the wildland-urban interface. Reference the International Wildland-Urban Interface (WUI) Code when developing wildfire prevention policies and procedures. The WUI is the zone of transition between unoccupied land and human development.",Wildfire,"Agriculture and Food Supply,Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Natural Areas and Wildlife,Property","""Land Use, Land Conservation, & Zoning""",Land Use Practice,"County of Santa Clara, CA Climate Adaptation Guidebook",https://sustainability.sccgov.org/sites/g/files/exjcpb976/files/documents/1_150803_Final%20Guidebook_W_Appendices.pdf,https://toolkit.climate.gov/case-studies/county-santa-clara-ca-climate-adaptation-guidebook-1
Reference American Society of Civil Engineers’ standard 24-05 Flood Resistant Design and Construction requirements in the design and construction of public facilities in flood hazard areas. ,"Flooding – Coastal,Flooding – General",Property,"""Policy, Codes, & Standards""",Building Codes,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Reference the International Wildland-Urban Interface Code when developing wildifre prevention policies and procedures. ,Wildfire,Multiple or All Assets,"""Policy, Codes, & Standards""",Policies,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Regularly update flood-prone area maps to incorporate the latest data near creeks, shorelines and other emerging urban flooding areas.","Flooding – Coastal,Flooding – General",Multiple or All Assets,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
Regularly update the Emergency Operations Center during debris cleanup operations.,Flooding – General,People,Preparedness & Response,Emergency Management,"Tompkins County, NY Resiliency and Recovery Plan",https://www.tompkinscountyny.gov/files2/planning/Climate_Adaptation/RRP_Full_Plan_Updated_9_27_22.pdf,https://toolkit.climate.gov/case-studies/tompkins-county-ny-resiliency-and-recovery-plan-1
"Regulate new development and mitigate old construction in wildfire hazard areas, especially in the urban growth boundary. ",Wildfire,Property,"""Policy, Codes, & Standards""",Building Codes,"HUD Community Resilience Toolkit, Ashland Climate and Energy Action Plan",,
